video_id,comment_text
v1,More content like this please.
v1,You could go deeper into this.
v1,It feels repetitive.
v1,I like how simple you keep things.
v1,I wish you showed more detail.
v1,This seems unrealistic.
v1,The pacing is perfect.
v1,This looks expensive.
v1,Your structure is very clear.
v1,How long does this take?
v1,Not practical for most people.
v1,This motivates me to improve my routine.
v1,This is actually very relatable.
v1,Can you link the products?
v1,Your structure is very clear.
v1,Can you show a weekend version?
v1,What time do you usually start?
v1,I have a question about this.
v1,Can you show a weekend version?
v1,This feels realistic and doable.
v1,I appreciate the honesty here.
v1,I have a question about this.
v1,Your editing style is so calming.
v1,This seems unrealistic.
v1,This seems unrealistic.
v1,It feels repetitive.
v1,This looks expensive.
v1,What time do you usually start?
v1,This inspired me a lot.
v1,I expected more explanation.
v1,Your editing style is so calming.
v1,You could go deeper into this.
v1,I have a question about this.
v1,What time do you usually start?
v1,This inspired me a lot.
v1,Your structure is very clear.
v1,The intro is too long.
v1,This feels realistic and doable.
v1,This feels too sponsored.
v1,Your editing style is so calming.
v1,This feels too sponsored.
v1,Please make a part two.
v1,This seems unrealistic.
v1,This feels realistic and doable.
v1,This inspired me a lot.
v1,I wish you showed more detail.
v1,This feels too sponsored.
v1,Your structure is very clear.
v1,More content like this please.
v1,The pacing is perfect.
v2,More content like this please.
v2,How long does this take?
v2,I expected more explanation.
v2,Please make a part two.
v2,More content like this please.
v2,This looks expensive.
v2,Can you link the products?
v2,What time do you usually start?
v2,I expected more explanation.
v2,Your structure is very clear.
v2,This motivates me to improve my routine.
v2,This seems unrealistic.
v2,Can you share more details?
v2,What time do you usually start?
v2,Please make a part two.
v2,Please make a part two.
v2,I like how simple you keep things.
v2,This looks expensive.
v2,This feels realistic and doable.
v2,The pacing is perfect.
v2,I expected more explanation.
v2,Not practical for most people.
v2,Too many ads lately.
v2,It feels repetitive.
v2,Your structure is very clear.
v2,Do you have a template?
v2,I love how authentic this feels.
v2,Can you show a weekend version?
v2,Too many ads lately.
v2,I wish you showed more detail.
v2,You could go deeper into this.
v2,What time do you usually start?
v2,This motivates me to improve my routine.
v2,I have a question about this.
v2,This feels too sponsored.
v2,This is actually very relatable.
v2,It feels repetitive.
v2,This inspired me a lot.
v2,What time do you usually start?
v2,Please make a part two.
v2,This inspired me a lot.
v2,This feels realistic and doable.
v2,I like how simple you keep things.
v2,Can you show a weekend version?
v2,Can you link the products?
v2,It feels repetitive.
v2,What camera do you use?
v2,Too many ads lately.
v2,Can you show a weekend version?
v2,I have a question about this.
v3,Your editing style is so calming.
v3,What camera do you use?
v3,Not practical for most people.
v3,Your editing style is so calming.
v3,I have a question about this.
v3,I have a question about this.
v3,This is actually very relatable.
v3,I like how simple you keep things.
v3,This looks expensive.
v3,Can you show a weekend version?
v3,Can you share more details?
v3,Can you share more details?
v3,This inspired me a lot.
v3,Can you share more details?
v3,I wish you showed more detail.
v3,This looks expensive.
v3,Not practical for most people.
v3,Can you show a weekend version?
v3,This feels too sponsored.
v3,This motivates me to improve my routine.
v3,This inspired me a lot.
v3,Do you have a template?
v3,It feels repetitive.
v3,I like how simple you keep things.
v3,This is actually very relatable.
v3,What camera do you use?
v3,This feels realistic and doable.
v3,I like how simple you keep things.
v3,Can you share more details?
v3,Your structure is very clear.
v3,The intro is too long.
v3,This feels realistic and doable.
v3,Can you share more details?
v3,I like how simple you keep things.
v3,I like how simple you keep things.
v3,This looks expensive.
v3,This feels too sponsored.
v3,This inspired me a lot.
v3,You could go deeper into this.
v3,This seems unrealistic.
v3,Can you show a weekend version?
v3,This is actually very relatable.
v3,I appreciate the honesty here.
v3,I like how simple you keep things.
v3,This inspired me a lot.
v3,Do you have a template?
v3,What camera do you use?
v3,Please make a part two.
v3,Can you share more details?
v3,I appreciate the honesty here.
v4,Can you link the products?
v4,I expected more explanation.
v4,This motivates me to improve my routine.
v4,You could go deeper into this.
v4,The intro is too long.
v4,The intro is too long.
v4,This feels too sponsored.
v4,I love how authentic this feels.
v4,I have a question about this.
v4,This seems unrealistic.
v4,Not practical for most people.
v4,How long does this take?
v4,This inspired me a lot.
v4,I have a question about this.
v4,What time do you usually start?
v4,This is actually very relatable.
v4,The intro is too long.
v4,Not practical for most people.
v4,I expected more explanation.
v4,What time do you usually start?
v4,This feels too sponsored.
v4,Not practical for most people.
v4,This is actually very relatable.
v4,Please make a part two.
v4,This is actually very relatable.
v4,It feels repetitive.
v4,This is actually very relatable.
v4,How long does this take?
v4,What time do you usually start?
v4,What time do you usually start?
v4,Can you link the products?
v4,This feels too sponsored.
v4,What time do you usually start?
v4,Can you link the products?
v4,Do you have a template?
v4,I expected more explanation.
v4,Your structure is very clear.
v4,Not practical for most people.
v4,Can you link the products?
v4,You could go deeper into this.
v4,Can you show a weekend version?
v4,This seems unrealistic.
v4,Can you show a weekend version?
v4,This motivates me to improve my routine.
v4,I like how simple you keep things.
v4,Can you show a weekend version?
v4,Too many ads lately.
v4,Too many ads lately.
v4,I appreciate the honesty here.
v4,More content like this please.
v5,I have a question about this.
v5,What time do you usually start?
v5,I like how simple you keep things.
v5,I appreciate the honesty here.
v5,This looks expensive.
v5,More content like this please.
v5,I wish you showed more detail.
v5,More content like this please.
v5,How long does this take?
v5,The pacing is perfect.
v5,Not practical for most people.
v5,I expected more explanation.
v5,I love how authentic this feels.
v5,This looks expensive.
v5,I have a question about this.
v5,I love how authentic this feels.
v5,This is actually very relatable.
v5,How long does this take?
v5,I expected more explanation.
v5,Too many ads lately.
v5,Your structure is very clear.
v5,Can you show a weekend version?
v5,You could go deeper into this.
v5,More content like this please.
v5,Too many ads lately.
v5,What camera do you use?
v5,The intro is too long.
v5,I appreciate the honesty here.
v5,I appreciate the honesty here.
v5,I appreciate the honesty here.
v5,Do you have a template?
v5,I like how simple you keep things.
v5,I like how simple you keep things.
v5,I love how authentic this feels.
v5,This motivates me to improve my routine.
v5,Can you show a weekend version?
v5,This feels realistic and doable.
v5,This motivates me to improve my routine.
v5,The pacing is perfect.
v5,I appreciate the honesty here.
v5,It feels repetitive.
v5,Your structure is very clear.
v5,I appreciate the honesty here.
v5,This feels realistic and doable.
v5,Please make a part two.
v5,The pacing is perfect.
v5,Not practical for most people.
v5,Do you have a template?
v5,This seems unrealistic.
v5,This feels realistic and doable.
v6,I wish you showed more detail.
v6,More content like this please.
v6,More content like this please.
v6,This seems unrealistic.
v6,This looks expensive.
v6,This looks expensive.
v6,Your structure is very clear.
v6,The intro is too long.
v6,The pacing is perfect.
v6,The intro is too long.
v6,Can you show a weekend version?
v6,Can you show a weekend version?
v6,Please make a part two.
v6,I have a question about this.
v6,The intro is too long.
v6,I like how simple you keep things.
v6,More content like this please.
v6,This feels too sponsored.
v6,Can you show a weekend version?
v6,I expected more explanation.
v6,This feels too sponsored.
v6,This inspired me a lot.
v6,I expected more explanation.
v6,This feels too sponsored.
v6,Too many ads lately.
v6,Please make a part two.
v6,How long does this take?
v6,This seems unrealistic.
v6,I love how authentic this feels.
v6,This looks expensive.
v6,I appreciate the honesty here.
v6,Your structure is very clear.
v6,Can you show a weekend version?
v6,Please make a part two.
v6,Can you link the products?
v6,Please make a part two.
v6,The intro is too long.
v6,Not practical for most people.
v6,Your structure is very clear.
v6,Can you share more details?
